unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,saon,paon,street,locality,town,district,county,transaction_category,linked_data_uri
"B82222ED-1FF2-6691-E053-6B04A8C02FB2","182000","2020-10-16","NG17 1AB","S","N","F","","ALCONA","MILL STREET","","SUTTON-IN-ASHFIELD","ASHFIELD","NOTTINGHAMSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/B82222ED-1FF2-6691-E053-6B04A8C02FB2/current"
"1C3E72FE-7A78-F410-E063-4804A8C0DFA6","145000","2024-05-13","NG17 1AD","T","N","F","","15","PROSPECT PLACE","","SUTTON-IN-ASHFIELD","ASHFIELD","NOTTINGHAMSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/1C3E72FE-7A78-F410-E063-4804A8C0DFA6/current"
"C18F412B-2B0C-81A6-E053-6B04A8C0AD18","122000","2021-02-12","NG17 1AD","S","N","F","","17","PROSPECT PLACE","","SUTTON-IN-ASHFIELD","ASHFIELD","NOTTINGHAMSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/C18F412B-2B0C-81A6-E053-6B04A8C0AD18/current"
"A2479555-8013-74C7-E053-6B04A8C0887D","59000","2020-02-13","NG17 1AD","T","N","F","","28","PROSPECT PLACE","","SUTTON-IN-ASHFIELD","ASHFIELD","NOTTINGHAMSHIRE","B","http://landregistry.data.gov.uk/data/ppi/transaction/A2479555-8013-74C7-E053-6B04A8C0887D/current"
"4777E0AF-02A2-5D59-E063-4804A8C09F8E","102000","2025-11-21","NG17 1AD","T","N","F","","30","PROSPECT PLACE","","SUTTON-IN-ASHFIELD","ASHFIELD","NOTTINGHAMSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/4777E0AF-02A2-5D59-E063-4804A8C09F8E/current"
"F5E8B082-48A4-3A13-E053-6C04A8C060B7","62750","2021-12-20","NG17 1AD","T","N","F","","34","PROSPECT PLACE","","SUTTON-IN-ASHFIELD","ASHFIELD","NOTTINGHAMSHIRE","B","http://landregistry.data.gov.uk/data/ppi/transaction/F5E8B082-48A4-3A13-E053-6C04A8C060B7/current"
"0B853950-4656-69A5-E063-4704A8C07DAC","260000","2022-07-11","NG17 1AE","D","N","F","","BENTHAM HOUSE","CHURCH STREET","","SUTTON-IN-ASHFIELD","ASHFIELD","NOTTINGHAMSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/0B853950-4656-69A5-E063-4704A8C07DAC/current"
"0B853950-4633-69A5-E063-4704A8C07DAC","245000","2022-05-13","NG17 1AE","D","N","F","","HOLDEN HOUSE","CHURCH STREET","","SUTTON-IN-ASHFIELD","ASHFIELD","NOTTINGHAMSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/0B853950-4633-69A5-E063-4704A8C07DAC/current"
"1C3E72FE-7B10-F410-E063-4804A8C0DFA6","255000","2023-03-09","NG17 1AE","D","N","F","","PEEL HOUSE","CHURCH STREET","","SUTTON-IN-ASHFIELD","ASHFIELD","NOTTINGHAMSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/1C3E72FE-7B10-F410-E063-4804A8C0DFA6/current"
"BC8936BC-5000-0E2C-E053-6C04A8C0DBF4","115000","2020-11-13","NG17 1AE","O","N","F","","PEEL HOUSE","CHURCH STREET","","SUTTON-IN-ASHFIELD","ASHFIELD","NOTTINGHAMSHIRE","B","http://landregistry.data.gov.uk/data/ppi/transaction/BC8936BC-5000-0E2C-E053-6C04A8C0DBF4/current"
